fact_id,food_beverage_id,polymer_id,biocoagulation_id,biological_sample_id,food_item,food_category,sample_preparation,quality_parameter,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized,source_table
MP_0043,FW_0043,POLY_043,BC_043,BS_043,Crabs (P. armatus),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); ASE dichloromethane (180°C, 1500 psi)","Recovery (PS 83.1 ± 17.9, PE 85.7 ± 6.5, PP 78.3 ± 18.5, PVC 86.5 ± 13.1, PMMA 100.7 ± 14.5, PET 32.1 ± 11); Linearity and linearity range (R2 ≥ 0.98, 0.02 - 10 μg); LOD (PS 0.05 - 0.70 μg, PE 0.62 - 8.05 μg, PVC 0.81 -10.82 μg, PP 0.07 - 10.82 μg, PMMA 0.74 - 13.96 μg); LOQ (PS 0.07 - 0.96 μg, PE 0.72 - 9.41 μg, PVC 0.83 - 10.93 μg, PP 0.19 - 2.45 μg, PMMA 1.86 - 24.29 μg)",0,Not Reported,PS,Py-GC/MS,food_water_beverages
MP_0044,FW_0044,POLY_044,BC_044,BS_044,Croaker (O. ruber),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",Not Reported,0,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0045,FW_0045,POLY_045,BC_045,BS_045,Flat fish (C. abbreviatus),Marine animal origin,"Digestion: 35% H2O2; 4% KOH (60°C, 72 h) + 68% HClO4 and 65% HNO3 (Few minutes)",Not Reported,11.3,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0046,FW_0046,POLY_046,BC_046,BS_046,Girdled horn snail (C. cingulata),Marine animal origin,Digestion: 30% H2O2,Not Reported,3.7,10–5000 µm,PE,Optical microscopy,food_water_beverages
MP_0047,FW_0047,POLY_047,BC_047,BS_047,Goldstripre sardinella (S. gibbosa),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",Not Reported,0.1,115–210 µm,PE,Optical microscopy,food_water_beverages
MP_0048,FW_0048,POLY_048,BC_048,BS_048,Greater lizardfish (S. tumbil),Marine animal origin,"Digestion: 35% H2O2; 4% KOH (60°C, 72 h) + 68% HClO4 and 65% HNO3 (Few minutes)",Not Reported,12,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0049,FW_0049,POLY_049,BC_049,BS_049,Haddock (M. aeglefinus),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h)",Not Reported,0.21,5–5000 µm,PE,Optical microscopy,food_water_beverages
MP_0050,FW_0050,POLY_050,BC_050,BS_050,Limpet (P. vulgata),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O3",Recovery (34%),0,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0051,FW_0051,POLY_051,BC_051,BS_051,Mackerel (Canned in sunflower oil),Marine animal origin,"Digestion: 10% KOH (40 °C, 24 h)",Not Reported,0.15,Fibers 1–5 mm; Fragments 10–50 µm; Films 100–500 µm,PET,Optical microscopy,food_water_beverages
MP_0052,FW_0052,POLY_052,BC_052,BS_052,Mackerel (M. cordyla),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",Not Reported,0,115–210 µm,PE,Optical microscopy,food_water_beverages
MP_0053,FW_0053,POLY_053,BC_053,BS_053,Mackerel (R. kanagurta - Dried),Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: 4.4 M NaI (ρ = 1.5 g/mL)",Not Reported,0.47,1–1000 µm,PP,Optical microscopy,food_water_beverages
MP_0054,FW_0054,POLY_054,BC_054,BS_054,Mackerel (R. kanagurta),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",Not Reported,0.13,115–210 µm,PE,Optical microscopy,food_water_beverages
MP_0055,FW_0055,POLY_055,BC_055,BS_055,"Mackerel (R. kanagurta, S. commerson)",Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",Not Reported,0,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0056,FW_0056,POLY_056,BC_056,BS_056,Mackerel (S. colias),Marine animal origin,"Digestion: 10% KOH (60°C, 24h)",Not Reported,0.6,Not Reported,PE,Optical microscopy,food_water_beverages
MP_0057,FW_0057,POLY_057,BC_057,BS_057,Mackerel (S. scombrus),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h)",Not Reported,0.29,7–5000 µm,PE,Optical microscopy,food_water_beverages
