food_beverage_id,food_item,food_category,sample_preparation,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized
FW_0087,Mussel (M. edulis),Marine animal origin,"Digestion: 69% NHO3 (rt, 24h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.2,Not Reported,LDPE,Optical microscopy
FW_0088,Mussel (M. edulis),Marine animal origin,"Digestion: 65% HNO3 + HClO4 68% (4:1 v:v, rt, 24h + 100 C, 10 min); dilution: dilution: water (1:10 v/v, 100°C)",0.13,Not Reported,UNKNOWN,Optical microscopy
FW_0089,Mussel (M. edulis),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O4",19,10–5000 µm,UNKNOWN,Optical microscopy
FW_0090,Mussel (M. galloprovincialis - coastal area),Marine animal origin,"Digestion: 5% w/v Tween 20 (20 rpm, 10 min + 50°C, 2 h) + 1:4 v/v protease P3111 in 0.1 M glycine buffer mixture at pH 9.0 (50 °C, 48 h) + 20% KOH (50 °C, 36 h); density separation: NaI solution (ρ = 1.8 g/mL)",1.06,> 20 µm,PE,Optical microscopy
FW_0091,Mussel (M. galloprovincialis - offshore),Marine animal origin,"Digestion: 5% w/v Tween 20 (20 rpm, 10 min + 50°C, 2 h) + 1:4 v/v protease P3111 in 0.1 M glycine buffer mixture at pH 9.0 (50 °C, 48 h) + 20% KOH (50 °C, 36 h); density separation: NaI solution (ρ = 1.8 g/mL)",0.65,> 20 µm,PE,Optical microscopy
FW_0092,Mussel (M. galloprovincialis),Marine animal origin,"Drying: (60°C, 24 h); density separation: NaCl (ρ = 1.2 g /mL); filtration; digestion; 15% H2O2",0,10–5000 µm,PE,Optical microscopy
FW_0093,Mussel (M. galloprovincialis),Marine animal origin,"Digestion: 30% H2O2 (60°C, 1 h + 80 rpm, untill complete digestion); density separation: NaCl",0.05,Fibers: 530 ± 470 µm Particles: 60.01 ± 38 µm,UNKNOWN,Epifluorence reverse microscopy
FW_0094,Mussel (M. galloprovincialis),Marine animal origin,"Digestion: 30% H2O2 (55–65°C, until complete evaporation of H2O2)",1.9,< 1000 µm,PE,Optical microscopy
FW_0095,Mussel (M. galloprovincialis),Marine animal origin,"Digestion: 10% KOH (sonication 5 min; incubation 90 rpm, 24 h, 60°C)",1.9,25–5000 µm,CP,Optical microscopy
FW_0096,Mussel (M. galloprovincialis),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",2.4,5–5000 µm,PE,Optical microscopy
FW_0097,Mussel (M. galloprovincialis),Marine animal origin,"Digestion: 10% KOH (rt, 48 h)",0.03,1200 µm,PES,Optical microscopy
FW_0098,Mussel (M. galloprovincialis),Marine animal origin,"Digestion: 30% H2O2 (50°C, 48 h)",6.2,750–6000 µm,UNKNOWN,Optical microscopy
FW_0099,Mussel (M. galloprovincialis),Marine animal origin,"Digestion: 10% KOH (sonication 5 min; incubation 90 rpm, 60°C, 24 h)",1.4,57–8639 µm,RY,Optical microscopy
FW_0100,"Mussel (M. galloprovincialis), clam (R. decussatus), oyster (C. gigas)",Marine animal origin,"Digestion: 10% KOH (80 rpm, 65°C, 24 h); density separation: NaCl (ρ = 140 g/L)",703.95,50–5000 µm,PP,Optical microscopy
FW_0101,"Mussel (M. galloprovincialis), clam (R. philippinarum, Re. lusoria, S. subcrenata), oyster (c. gigas), razor clam (S. constricta), sea snail (B. canaliculatus)",Marine animal origin,"Digestion: 10% KOH (sonication 5 min; incubation 90 rpm, 24 h, 60°C)",1.2,10–4377 µm,RY,Optical microscopy
FW_0102,"Mussel (M. galloprovincialis, M. edulis - Fresh)",Marine animal origin,"Digestion: 30% H2O2
(65°C, 36–48 h)",0.4,150–6000 µm,PE,Optical microscopy
